Config,iy,iz,Nx,Ny,Nz,Gap_mm,Size_mm,SizeY_mm,NumEvents,NumPeaks,AvgFWHM,MinPVR,MinPVR_dB
001_Ny1,0,0,11,1,3,0.1,3.0,3.0,21,10,0.008766714070509439,78945017.51664685,78.97324725436025
001_Ny1,0,1,11,1,3,0.1,3.0,3.0,21,10,0.01301825303857521,6.958238447178,8.424993072111189
001_Ny1,0,2,11,1,3,0.1,3.0,3.0,20,10,0.008287117686575921,33000832604.461422,105.18524897179756
002_Ny2,0,0,11,2,3,0.1,3.0,3.0,17,5,0.007951302783028972,9632318307704.707,129.83730825761296
002_Ny2,0,1,11,2,3,0.1,3.0,3.0,16,10,0.007849451253959338,266007.76394978684,54.24894312538371
002_Ny2,0,2,11,2,3,0.1,3.0,3.0,16,6,0.007934531472512779,8.314281404887204e+25,259.198247195353
002_Ny2,1,0,11,2,3,0.1,3.0,3.0,20,8,0.009097581903845022,41849.348887250955,46.21688705414733
002_Ny2,1,1,11,2,3,0.1,3.0,3.0,18,9,0.00810496419726611,53667.4590097042,47.29711033256326
002_Ny2,1,2,11,2,3,0.1,3.0,3.0,19,9,0.008301318416134965,46509898.18135443,76.67545388762767
003_Ny3,0,0,11,3,3,0.1,3.0,3.0,15,6,0.007849400144067903,14356902545801.525,131.57060752415478
003_Ny3,0,1,11,3,3,0.1,3.0,3.0,17,5,0.007849460722249962,1.858624889570761e+31,312.69191748659676
003_Ny3,0,2,11,3,3,0.1,3.0,3.0,18,7,0.007851539099509353,1.295297032100443e+21,211.12369370432899
003_Ny3,1,0,11,3,3,0.1,3.0,3.0,16,6,0.008048120312875287,5.29571912682624e+25,257.23924943028277
003_Ny3,1,1,11,3,3,0.1,3.0,3.0,19,9,0.007873091079951535,73517.06711236284,48.66388172992803
003_Ny3,1,2,11,3,3,0.1,3.0,3.0,19,10,0.008176694823419251,601.1494942473283,27.789824860681055
003_Ny3,2,0,11,3,3,0.1,3.0,3.0,16,7,0.009720289518899127,51.6646839608089,17.131937771009078
003_Ny3,2,1,11,3,3,0.1,3.0,3.0,16,11,0.007878711063988155,213443.0062859109,53.29281929197603
003_Ny3,2,2,11,3,3,0.1,3.0,3.0,17,8,0.007852850477704757,56724352.880365305,77.53769550090874
